Code	Country	PTJ1 (wds)	PTJ2 (wds)	SMK1 (wds)	SMK2 (wds)	Self Ev	Sex	Age	Grade/Degree	Yrs of Stay (< Yrs)	ENS Type	Major/ Occupation	Acad. Genre	Test	Score	VST	CEFR	INTM	INSM	INTM+INSM	INTM-INSM	Primary	Secondary	College	Inschool	Outschool	Listening	Reading	Speaking	Writing	NS	Pronunciation	Presentation	EssayW
SM_CHN_011	CHN	119	124	105	120	1	M	20	2	N/A	N/A	Sea Engineering	Sciences & Technology	N/A	N/A	38	B1_2	4.83	5.83	10.66	-1	2	3.13	3	2.78	3.11	3.5	3.75	2.25	2.75	2	4	4	5
SM_CHN_012	CHN	108	102	95	99	1	M	18	2	N/A	N/A	Physics	Sciences & Technology	N/A	N/A	33	B1_1	4.67	4.67	9.34	0	1	3.88	3.25	3.56	3	5	3.5	3.25	2.5	6	6	4	6
SM_CHN_013	CHN	47	84	72	75	1	M	20	2	N/A	N/A	Mechanical Engineering	Sciences & Technology	TOEFL (iBT)	65 	30	B1_1	3.67	5.5	9.17	-1.83	3	2.5	2.63	3.11	2.11	2.75	2.5	2.5	2.5	2	5	4	4
SM_CHN_014	CHN	74	100	100	119	2	M	20	1	N/A	N/A	Mechanical Engineering	Sciences & Technology	N/A	N/A	39	B1_2	4.67	5.33	10	-0.66	2.5	4.5	2.88	3.67	3.44	4	3.75	3.25	3.75	1	2	4	3
SM_CHN_015	CHN	90	100	92	124	2	M	20	1	N/A	N/A	Mechanical Engineering	Sciences & Technology	N/A	N/A	39	B1_2	4.67	5.33	10	-0.66	2.5	4.5	2.88	3.67	3.44	4	3.75	3.25	3.75	1	2	4	3
SM_CHN_016	CHN	128	118	126	128	2	F	19	2	N/A	N/A	Mechanical Engineering	Sciences & Technology	N/A	N/A	32	B1_1	5.5	4.67	10.17	0.83	2	2.88	3.38	3.22	2.78	4.25	3	2	3.25	2	4	4	4
SM_CHN_017	CHN	133	123	112	112	1	M	20	2	N/A	N/A	Industrial Engineering	Sciences & Technology	N/A	N/A	36	B1_2	3.83	4.33	8.16	-0.5	3.5	3.5	3.13	3.67	3	3.5	3.25	3.25	3.25	4	5	4	4
SM_CHN_018	CHN	111	106	98	104	1	M	19	2	N/A	N/A	Machine Science	Sciences & Technology	N/A	N/A	36	B1_2	3.67	5.67	9.34	-2	2.5	3.88	2.38	3.56	2.56	3.25	4	1.75	3.5	1	5	2	5
SM_CHN_019	CHN	107	104	96	117	3	M	20	2	N/A	N/A	Mechanical Engineering	Sciences & Technology	N/A	N/A	38	B1_2	4.67	4.83	9.5	-0.16	2	3.88	3.63	3.33	3.78	4.25	4.5	3.25	3	3	3	3	4
SM_CHN_020	CHN	107	114	109	118	1	M	20	2	N/A	N/A	Mechanical Engineering	Sciences & Technology	N/A	N/A	33	B1_1	4.33	3.5	7.83	0.83	1	3.75	3	3.78	2.44	2.75	4.5	2.25	4	1	2	4	5
SM_CHN_021	CHN	92	97	105	111	0	M	20	1	N/A	N/A	Mechanical Engineering	Sciences & Technology	N/A	N/A	39	B1_2	5	5	10	0	3	3.75	3.88	4.11	3.33	4.5	4	3	3.75	2	4	4	5
SM_CHN_022	CHN	84	88	109	120	1	M	21	2	N/A	N/A	Mechanical Engineering	Sciences & Technology	N/A	N/A	44	B1_2	4.67	5.17	9.84	-0.5	3	4.63	3.63	4.33	3.67	4.25	4.25	3.75	4.25	3	4	4	4
SM_CHN_023	CHN	81	75	50	72	0	M	20	2	N/A	N/A	Software Engineering	Sciences & Technology	N/A	N/A	26	B1_1	4.5	5.17	9.67	-0.67	2.5	2.13	3.25	2.78	2.56	3	3.25	2.25	2.25	2	2	4	4
SM_CHN_024	CHN	110	127	104	90	1	M	19	2	N/A	N/A	Physics	Sciences & Technology	N/A	N/A	43	B1_2	4.5	5	9.5	-0.5	2.5	4.25	3.75	4	3.67	4.25	4.5	3.75	3.5	2	6	5	5
SM_CHN_025	CHN	165	181	124	152	2	M	20	2	N/A	N/A	Industrial Engineering	Sciences & Technology	N/A	N/A	36	B1_2	3.83	4.33	8.16	-0.5	3.5	3.5	3.13	3.67	3	3.5	3.25	3.25	3.25	4	5	4	4
SM_CHN_026	CHN	108	103	98	101	3	M	31	M	N/A	N/A	Calculating Science	Sciences & Technology	N/A	N/A	18	A2_0	3.33	4.67	8	-1.34	1	1.38	1.75	1.33	1.67	2.5	1.5	1.25	1	1	2	3	3
SM_CHN_027	CHN	86	66	71	74	3	M	19	1	N/A	N/A	Industrial Engineering	Sciences & Technology	N/A	N/A	37	B1_2	2.33	3.33	5.66	-1	3	2.75	2.88	2.78	2.89	2.5	2.5	3.25	3	3	4	3	3
SM_CHN_028	CHN	117	130	104	114	2	M	27	1	N/A	N/A	Chemical Engineering	Sciences & Technology	N/A	N/A	27	B1_1	3.83	5.67	9.5	-1.84	2	3.75	2.88	2.89	3.44	4.25	3.75	2.75	2.5	2	2	2	2
SM_CHN_029	CHN	132	128	107	105	1	M	26	M	N/A	N/A	Computer Science	Sciences & Technology	TOEIC	740 	29	B1_2	5.83	5.17	11	0.66	2.5	4.25	5.25	4.56	4.44	5	5	4.75	4.25	6	6	2	4
SM_CHN_030	CHN	88	89	80	94	1	M	19	2	N/A	N/A	Mechanical Engineering	Sciences & Technology	N/A	N/A	36	B1_2	4	3.5	7.5	0.5	2.5	3.25	3.75	4.22	2.56	4.25	3.5	3.25	3	6	3	6	6
SM_CHN_031	CHN	99	101	84	96	1	M	19	2	N/A	N/A	Engineering	Sciences & Technology	N/A	N/A	29	B1_1	4.5	5	9.5	-0.5	2.5	3.5	4	3.89	3.33	3.75	3.75	3.75	3.75	4	4	4	4
SM_CHN_032	CHN	117	115	117	105	1	M	22	4	N/A	N/A	Mechanical Engineering	Sciences & Technology	TOEFL (iBT)	108 	44	B2_0	5.33	3.83	9.16	1.5	3.5	3.38	3.88	3.56	3.67	3.75	4.25	3	3.5	5	5	4	5
SM_CHN_033	CHN	72	81	90	77	0	M	20	2	N/A	N/A	Economics	Social Sciences	N/A	N/A	42	B1_2	4.33	4.5	8.83	-0.17	4	3.13	3	3.44	2.89	3	4	2.25	3	4	5	6	2
SM_CHN_034	CHN	71	56	61	65	1	M	20	2	N/A	N/A	Sea Engineering	Sciences & Technology	N/A	N/A	43	B1_2	5.17	5.83	11	-0.66	4	3.25	3.38	3.78	3	4.25	2.5	2.5	4	5	6	6	6
SM_CHN_035	CHN	112	91	100	100	1	F	21	2	N/A	N/A	Mechanical Engineering	Sciences & Technology	N/A	N/A	28	B1_1	3.67	5.17	8.84	-1.5	1	1.75	1	1.67	1	1.5	1.5	1.5	1	1	1	1	6
SM_CHN_036	CHN	110	99	104	58	1	M	20	2	0.5	N/A	Environment	Sciences & Technology	N/A	N/A	21	A2_0	3.33	3.83	7.16	-0.5	5	4	3.88	4.22	3.89	4	4	3.5	4.25	2	3	2	5
SM_CHN_037	CHN	114	135	117	122	1	M	19	2	N/A	N/A	Sea Engineering	Sciences & Technology	N/A	N/A	39	B1_2	3	4.5	7.5	-1.5	6	3.13	1	2.44	2.56	2	2.25	1.75	2.25	1	5	1	5
SM_CHN_038	CHN	103	65	80	82	1	M	20	2	N/A	N/A	Mechanical Engineering	Sciences & Technology	N/A	N/A	42	B1_2	4.33	5.17	9.5	-0.84	2	3.25	3.5	3.56	2.89	3.75	3.25	3.25	3.25	2	3	5	5
SM_CHN_039	CHN	71	44	30	42	2	M	19	2	N/A	N/A	Mechanical Engineering	Sciences & Technology	N/A	N/A	42	B1_2	4.33	5.17	9.5	-0.84	2	3.25	3.5	3.56	2.89	3.75	3.25	3.25	3.25	2	3	5	5
SM_CHN_040	CHN	122	106	113	116	1	F	26	M	N/A	N/A	System Science	Sciences & Technology	TOEFL (iBT)	92 	33	B2_0	5.5	5.5	11	0	1	2	2.88	1.56	3	2.5	2.75	2.5	2	5	5	5	2
SM_CHN_041	CHN	101	113	95	107	1	M	24	M	N/A	N/A	Wireless Network	Sciences & Technology	TOEIC	865 	36	B2_0	5.33	5.5	10.83	-0.17	3.5	3.13	3.88	3.11	3.89	3	4.25	3.5	3.25	4	3	4	3
SM_CHN_042	CHN	109	127	97	109	1	F	26	M	N/A	N/A	Anthropology	Humanities	N/A	N/A	45	B1_2	6	4.83	10.83	1.17	1.5	4.63	4.25	3.56	4.67	4.5	4.75	3.25	5.25	6	6	6	6
SM_CHN_043	CHN	95	89	82	72	0	F	24	3	N/A	N/A	Japanese	Humanities	TOEFL (iBT)	84 	29	B1_2	5.83	5	10.83	0.83	1	1.88	1	1.78	1	1	2	1.5	1.25	1	1	1	6
SM_CHN_044	CHN	130	133	115	133	1	F	23	M	N/A	N/A	Human Communication	Humanities	N/A	N/A	42	B1_2	4.17	4.33	8.5	-0.16	2.5	3.5	3.75	3.67	3.33	3.5	4.25	3	3.75	3	5	4	5
SM_CHN_045	CHN	104	128	97	98	1	M	28	M	N/A	N/A	Information Science	Sciences & Technology	TOEIC	710 	27	B1_2	5	3.83	8.83	1.17	1	3.63	2.25	3	2.44	2.75	4.25	2.25	2.5	1	4	2	1
SM_CHN_046	CHN	99	100	104	100	1	M	26	M	N/A	N/A	Education	Humanities	TOEIC	705 	40	B1_2	5.17	4.83	10	0.34	4.5	4.5	3.5	5	3.11	4	4	4	4	5	5	3	5
SM_CHN_047	CHN	98	97	89	94	1	F	25	M	N/A	N/A	Economics	Social Sciences	N/A	N/A	31	B1_1	5.5	3.83	9.33	1.67	2	3	2.25	3	2.11	3	2.75	2	2.75	2	2	2	3
SM_CHN_048	CHN	102	135	108	101	0	M	30	M	N/A	N/A	Marketing	Social Sciences	TOEIC	720 	32	B1_2	4	5.33	9.33	-1.33	2	2.75	2.75	3.22	2.11	2.5	4	2.25	2.25	2	6	6	5
SM_CHN_049	CHN	131	115	96	105	1	F	24	M	N/A	N/A	Political Science	Social Sciences	TOEFL (iBT)	98 	31	B2_0	5.67	5.33	11	0.34	1.5	3.25	2.88	1.78	4	3.5	3.5	2.75	2.5	1	6	3	3
SM_CHN_050	CHN	41	52	38	50	1	M	20	2	N/A	N/A	Life Science	Life Sciences	N/A	N/A	43	B1_2	5.67	5.67	11.34	0	3	5	3	4.56	3.22	4.5	4.75	3	3.75	5	6	5	5
SM_CHN_051	CHN	118	135	120	130	1	M	21	2	N/A	N/A	Information Security	Sciences & Technology	N/A	N/A	26	B1_1	2.33	5	7.33	-2.67	1	4.25	2.13	3.33	2.56	3.5	3.75	2	3.5	5	3	2	4
SM_CHN_052	CHN	79	109	98	103	1	F	21	2	N/A	N/A	Animal Sciences	Sciences & Technology	N/A	N/A	44	B1_2	4.33	4.67	9	-0.34	5	5.13	4.38	5.11	4.44	4.25	5	4.25	5.5	1	6	6	5
SM_CHN_053	CHN	89	109	98	132	1	F	21	2	N/A	N/A	Visual Communication	Sciences & Technology	N/A	N/A	44	B1_2	4.83	4.5	9.33	0.33	2.5	3	3.63	4.11	2.33	3.75	3.5	3.25	2.75	5	5	6	6
SM_CHN_054	CHN	165	151	139	145	2	M	21	2	N/A	N/A	Automation	Sciences & Technology	N/A	N/A	27	B1_1	5	4.5	9.5	0.5	2.5	3.25	2.38	2.78	2.78	3	2.75	2.75	2.75	5	4	3	1
SM_CHN_055	CHN	119	118	87	112	1	M	21	3	N/A	N/A	Material Engineering	Sciences & Technology	TOEFL (iBT)	86 	34	B1_2	4.83	5	9.83	-0.17	1	2.88	3.25	3.33	2.33	3.75	2.75	2.5	3.25	2	4	4	5
SM_CHN_056	CHN	100	121	97	95	1	F	19	1	N/A	N/A	Finance	Social Sciences	N/A	N/A	35	B1_1	5	4.83	9.83	0.17	1	3	3.5	3.22	2.78	3.5	3	2.25	4.25	4	4	4	5
SM_CHN_057	CHN	146	129	140	109	1	M	20	2	N/A	N/A	Applied Chemistry	Sciences & Technology	N/A	N/A	31	B1_1	4.67	5.67	10.34	-1	2	3.25	3	3.33	2.67	3.5	3.25	2.75	3	4	4	5	5
SM_CHN_058	CHN	139	154	130	130	3	M	20	2	N/A	N/A	Information Security	Sciences & Technology	TOEFL (iBT)	70 	28	B1_1	3.67	4.67	8.34	-1	2.5	3.63	3.38	3.44	3.33	4.25	3.5	3	3.25	2	3	3	3
SM_CHN_059	CHN	125	140	114	112	1	M	20	2	N/A	N/A	Information Security	Sciences & Technology	N/A	N/A	33	B1_1	3.83	5.5	9.33	-1.67	2	2.63	2.63	2.78	2.33	2.5	3.5	2.75	1.75	3	3	4	2
SM_CHN_060	CHN	99	140	90	79	1	F	20	2	N/A	N/A	Life Science	Life Sciences	N/A	N/A	43	B1_2	5.67	5.67	11.34	0	3	5	3	4.56	3.22	4.5	4.75	3	3.75	5	6	5	5
SM_CHN_061	CHN	130	139	126	126	2	F	30	M	N/A	N/A	Education	Humanities	TOEIC	760 	46	B1_2	4.5	4.67	9.17	-0.17	3.5	3.13	3.5	3.22	3.44	3.5	3.75	3	3	3	4	3	3
SM_CHN_062	CHN	82	97	75	90	1	F	23	M	N/A	N/A	Japanese	Humanities	TOEIC	645 	41	B1_1	3.5	4.5	8	-1	2.5	3	2.13	2.78	2.33	2.75	2.75	2	2.75	2	5	4	2
SM_CHN_063	CHN	118	116	119	105	0	F	24	M	N/A	N/A	Global Culture	Humanities	N/A	N/A	31	B1_1	3.5	3.17	6.67	0.33	2	4.5	1.38	2.78	2.89	3	3	3	2.75	1	1	1	1
SM_CHN_064	CHN	107	104	106	81	1	F 	21	4	N/A	N/A	Business English	Humanities	IELTS	7 	29	B2_0	4.83	3.83	8.66	1	3	3.63	3.88	4	3.33	4.5	4.25	3.25	3	6	4	4	4
SM_CHN_065	CHN	119	107	114	109	0	M	22	4	N/A	N/A	Chemistry	Sciences & Technology	N/A	N/A	34	B1_1	3.33	4.17	7.5	-0.84	1.5	4.5	2.63	3.22	3.44	3.75	4	2.75	3.75	2	2	2	4
SM_CHN_066	CHN	104	110	104	94	1	F	23	4	N/A	N/A	Nursing	Life Sciences	N/A	N/A	19	A2_0	3.33	4.67	8	-1.34	1.5	3.25	3.38	2.56	3.67	3.75	3.25	3	3.25	2	5	3	3
SM_CHN_067	CHN	116	122	104	115	1	M	19	2	N/A	N/A	Engineering	Sciences & Technology	N/A	N/A	20	A2_0	2.5	1.83	4.33	0.67	5.5	3.63	3.5	3.78	3.78	3	3.25	4	4	4	3	3	4
SM_CHN_068	CHN	122	135	118	105	1	M	20	3	N/A	N/A	Biology	Sciences & Technology	N/A	0 	36	B1_2	3.83	2	5.83	1.83	3	3	2.75	2.78	3	2.5	3.5	2.75	2.75	2	3	3	4
SM_CHN_069	CHN	140	156	135	123	1	M	22	4	0.5	N/A	Chinese	Humanities	N/A	N/A	28	B1_1	4.83	3.83	8.66	1	2	3.13	4.5	3.89	3.33	4.25	3.25	3.5	4.25	5	5	4	5
SM_CHN_070	CHN	135	145	146	159	1	M	20	4	N/A	N/A	Chinese Literature	Humanities	N/A	N/A	30	B1_1	4.67	4.67	9.34	0	1	3.63	5	4.22	3.67	4.5	4.5	4	4.25	4	4	4	4
SM_CHN_071	CHN	79	86	69	77	2	M	19	4	N/A	N/A	Marketing Management	Social Sciences	N/A	N/A	32	B1_1	4.5	5.17	9.67	-0.67	1.5	4.5	4.75	4.56	4	5	4.5	4.5	4.5	4	6	6	6
SM_CHN_072	CHN	126	141	124	144	1	M	20	4	N/A	N/A	International Trade	Social Sciences	N/A	N/A	40	B1_2	3.67	3.5	7.17	0.17	2	2.25	2.13	2.22	2.11	2.25	2.25	2.25	2	5	5	4	5
SM_CHN_073	CHN	89	106	86	92	1	M	21	3	N/A	N/A	Psychology	Humanities	N/A	N/A	42	B1_2	2.83	4.67	7.5	-1.84	3.5	1.88	2.38	3	1.56	1.75	3	1.75	2	3	2	4	4
SM_CHN_074	CHN	134	151	118	129	1	F	20	3	N/A	N/A	English	Humanities	N/A	N/A	45	B1_2	5.17	4.83	10	0.34	4	3.63	6	5.11	4.33	4.75	4.75	4.75	5	6	6	6	6
SM_CHN_075	CHN	125	154	124	110	1	F	20	3	N/A	N/A	English	Humanities	N/A	N/A	41	B1_2	3.33	3.5	6.83	-0.17	1.5	4	4.88	5	3.22	4	4.5	4.75	4.5	6	6	3	6
SM_CHN_076	CHN	138	134	132	126	1	F	20	3	N/A	N/A	English	Humanities	N/A	N/A	39	B1_2	4.67	4.83	9.5	-0.16	1.5	2.88	4.25	3.89	2.78	4	3.5	3.5	3.25	5	5	5	5
SM_CHN_077	CHN	102	139	92	100	1	F	20	3	N/A	N/A	English	Humanities	N/A	N/A	41	B1_2	5	4.83	9.83	0.17	2.5	3	4.63	4.56	2.78	4	4.5	3.25	3.5	5	6	6	6
SM_CHN_078	CHN	137	91	125	115	2	M	22	3	N/A	N/A	Legal English	Social Sciences	N/A	N/A	44	B1_2	4.5	4.5	9	0	3	3.75	4.75	4.56	3.67	4.5	4.25	4	4.25	3	4	5	5
SM_CHN_079	CHN	157	155	143	164	2	F	20	3	0.5	N/A	English Literature	Humanities	N/A	N/A	46	B1_2	5	4.67	9.67	0.33	3	3.75	5	4.44	4	4.75	4.25	4.5	4	5	5	5	5
SM_CHN_080	CHN	125	127	118	113	2	F	19	3	N/A	N/A	English	Humanities	N/A	N/A	40	B1_2	4.17	4.5	8.67	-0.33	3	3.88	3.88	4.44	3.11	4.5	5	2.5	3.5	5	5	5	6
SM_CHN_081	CHN	136	145	142	133	1	F	20	3	N/A	N/A	English	Humanities	N/A	N/A	40	B1_2	6	6	12	0	3	4.88	6	5.22	5.11	5.5	5.5	5.25	5.5	2	6	5	6
SM_CHN_082	CHN	74	123	101	86	2	F	19	3	N/A	N/A	English	Humanities	N/A	N/A	39	B1_2	4.67	5.67	10.34	-1	2.5	4.38	5.5	5	4.33	5.25	5.25	4.25	5	6	6	6	6
SM_CHN_083	CHN	112	111	100	87	1	F	22	3	N/A	N/A	English	Humanities	N/A	N/A	31	B1_1	4.67	5.5	10.17	-0.83	3.5	3	4	4.11	2.89	3.5	3.5	3.5	3.5	5	5	5	5
SM_CHN_084	CHN	112	114	95	95	2	F	21	3	N/A	N/A	Automation	Sciences & Technology	N/A	0 	39	B1_2	5	4.5	9.5	0.5	3.5	3.88	3.38	4.33	2.89	4	3.75	3.25	3.5	2	4	4	4
SM_CHN_085	CHN	144	142	97	51	1	F	20	2	N/A	N/A	English	Humanities	N/A	N/A	44	B1_2	4.83	4.67	9.5	0.16	2	3.25	4.25	3.78	3.33	3.75	3.5	3.75	4	4	4	5	5
SM_CHN_086	CHN	102	109	104	109	2	F	20	2	N/A	N/A	English	Humanities	N/A	N/A	42	B1_2	5.5	5.67	11.17	-0.17	2.5	3.75	5	4.67	3.67	4.5	4.75	4	4.25	6	5	4	5
SM_CHN_087	CHN	161	148	132	134	1	F	20	2	N/A	N/A	English Literature	Humanities	N/A	N/A	36	B1_2	5.17	5.33	10.5	-0.16	2	3.38	4.5	4.11	3.33	4.5	4.25	3.5	3.5	5	5	5	5
SM_CHN_088	CHN	101	104	82	92	1	F	20	2	N/A	N/A	Business English	Humanities	TOEFL (iBT)	95 	40	B2_0	4.33	5.17	9.5	-0.84	1	1.5	4.25	2.89	2.44	2.75	3.25	2.25	3.25	5	5	5	5
SM_CHN_089	CHN	123	137	133	134	1	F	19	2	N/A	N/A	English	Humanities	N/A	N/A	46	B1_2	4.67	5	9.67	-0.33	3	2.75	4.25	4	2.89	3.5	4.5	3	3	4	4	4	4
SM_CHN_090	CHN	116	117	121	131	1	F	20	2	N/A	N/A	English	Humanities	N/A	N/A	39	B1_2	5.17	5.17	10.34	0	3	3.13	4.13	3.89	3.22	4	4	3.25	3.25	2	5	5	5
SM_CHN_091	CHN	142	165	144	144	1	F	19	2	N/A	N/A	English	Humanities	N/A	N/A	46	B1_2	5	5	10	0	5	4	5	4.56	4.56	4.5	4.5	4.5	4.5	0	2	2	4
SM_CHN_092	CHN	115	145	116	125	2	M	16	2	N/A	N/A	Math	Sciences & Technology	N/A	N/A	23	A2_0	4	5	9	-1	4.5	3.25	2.88	2.22	4.22	3.75	3.25	2.75	2.5	5	2	2	4
SM_CHN_093	CHN	136	143	128	122	1	F	19	2	N/A	N/A	English	Humanities	N/A	N/A	33	B1_1	3.67	4.33	8	-0.66	3	2.88	3.88	3.22	3.44	3.5	3.5	3.25	3.25	5	4	5	4
SM_CHN_094	CHN	136	150	119	136	2	F	19	2	N/A	N/A	Business English	Humanities	N/A	N/A	46	B1_2	4.67	5	9.67	-0.33	1.5	2	4.63	3.56	2.67	3.25	3.75	2.75	3.5	3	5	4	4
SM_CHN_095	CHN	122	134	128	108	1	F	19	2	N/A	N/A	German	Humanities	N/A	N/A	43	B1_2	4.5	4.67	9.17	-0.17	4.5	4.13	3.25	4.22	3.33	4	3.75	3.5	3.5	6	6	6	6
SM_CHN_096	CHN	137	141	114	118	0	F	19	2	0.5	N/A	English	Humanities	N/A	N/A	44	B1_2	4.83	5.5	10.33	-0.67	2.5	3	5.13	4.22	3.56	3.5	4.75	3.25	4.75	6	6	6	6
SM_CHN_097	CHN	150	156	139	153	1	F	19	2	N/A	N/A	English	Humanities	N/A	N/A	38	B1_2	4.67	4.5	9.17	0.17	4.5	4	5	4.67	4.33	4.5	5.5	3.5	4.5	6	6	6	6
SM_CHN_098	CHN	113	144	142	131	1	F	20	2	N/A	N/A	Business English	Humanities	N/A	N/A	41	B1_2	5.83	6	11.83	-0.17	1.5	4	5.38	4.67	4	5.25	5.5	3	5	3	5	6	6
SM_CHN_099	CHN	77	114	84	104	2	M	21	3	N/A	N/A	Automation	Sciences & Technology	N/A	0 	35	B1_1	5	4.33	9.33	0.67	3.5	3.75	2.38	3.78	2.44	4	3	2	3.25	1	4	3	3
SM_CHN_100	CHN	132	122	119	126	1	F	19	2	N/A	N/A	English	Humanities	N/A	N/A	28	B1_1	3.67	4.33	8	-0.66	1	2.63	3.88	3.67	2.33	3.5	3.75	2.75	3	6	3	5	5
SM_CHN_101	CHN	85	100	108	97	1	F	19	2	N/A	N/A	Chinese Medicine	Life Sciences	TOEFL (iBT)	85 	39	B1_2	4.5	4	8.5	0.5	1	3.75	4.88	4.44	3.44	4.75	4	3.5	5	6	5	6	6
SM_CHN_102	CHN	131	127	116	129	1	F	21	2	N/A	N/A	English	Humanities	N/A	N/A	42	B1_2	5	5	10	0	2	4	6	4.67	4.67	5	5	5	5	4	6	6	6
SM_CHN_103	CHN	135	158	126	128	1	F	17	2	N/A	N/A	English	Humanities	N/A	N/A	46	B1_2	5.83	5.33	11.16	0.5	3	3.88	5.75	5.11	4.11	4.75	5.25	4.25	5	6	6	6	6
SM_CHN_104	CHN	124	138	103	116	1	F	19	2	N/A	N/A	English	Humanities	N/A	N/A	44	B1_2	4.67	4.83	9.5	-0.16	4	4.13	5.25	4.89	4.33	4.75	5	4.25	4.75	6	6	6	6
SM_CHN_105	CHN	82	77	76	81	0	F	22	4	1	N/A	History	Humanities	N/A	N/A	31	B1_1	4.67	4	8.67	0.67	2	3.75	3	3.33	3.11	3.75	4.5	2.5	2.75	2	2	4	3
SM_CHN_106	CHN	103	114	94	114	2	F	21	4	N/A	N/A	History	Humanities	N/A	N/A	28	B1_1	3	3.83	6.83	-0.83	2.5	3.63	3.88	4.33	2.89	4.5	3.75	2.75	4	6	6	5	6
SM_CHN_107	CHN	152	179	117	122	0	F	18	2	N/A	N/A	English	Humanities	N/A	N/A	47	B2_0	4	4.83	8.83	-0.83	3.5	3	4.5	4.56	2.89	3.75	3.75	3.75	3.75	5	5	2	4
SM_CHN_108	CHN	130	127	135	142	2	F	19	2	N/A	N/A	English	Humanities	N/A	N/A	36	B1_2	4.17	4.5	8.67	-0.33	1.5	3.38	5.13	4.56	3.33	4.5	5.5	3	4	6	3	6	6
SM_CHN_109	CHN	117	123	96	115	1	F	20	2	N/A	N/A	English	Humanities	IELTS	7 	37	B2_0	4.67	4.83	9.5	-0.16	2	4.38	5.38	4.89	4.22	5	5.25	4.25	5	1	6	4	4
SM_CHN_110	CHN	132	154	137	144	1	F	19	2	N/A	N/A	English	Humanities	N/A	N/A	25	B1_1	5.33	4.5	9.83	0.83	4.5	3.5	5.5	5.11	3.89	4.75	4.25	4.75	4.25	6	6	6	6
SM_CHN_111	CHN	107	87	83	62	1	F	20	2	N/A	N/A	English	Humanities	N/A	N/A	32	B1_1	3.83	5	8.83	-1.17	3.5	3.75	3.5	4.44	2.78	4	4	3.25	3.25	3	4	5	4
SM_CHN_112	CHN	133	123	118	110	1	F	20	2	N/A	N/A	English	Humanities	N/A	N/A	38	B1_2	5.67	6	11.67	-0.33	1.5	1	3	2.11	1.78	2.5	2	1.75	1.75	3	5	5	4
SM_CHN_113	CHN	109	119	99	105	1	F	20	2	N/A	N/A	English	Humanities	N/A	N/A	21	A2_0	5.5	4.5	10	1	2	2.25	4	3.11	2.89	3.75	3.25	2.5	3	6	4	6	6
